PID,University,Gender,Timestamp,ScreenTimeSumBefore1Hr,StepCountSumBefore1Hr,Location,StressBinary
P001,A,female,2025-03-04 08:56:06.479621765,1849.0601732967807,2070,work,not-stressed
P001,A,female,2025-03-04 09:47:37.319771159,625.9531493648528,3320,outside,not-stressed
P001,A,female,2025-03-07 09:25:33.998410366,870.141986711439,1922,home,not-stressed
P001,A,female,2025-03-07 10:33:00.416640129,861.0520397276114,1333,work,not-stressed
P001,A,female,2025-03-08 08:06:11.396028044,1465.8721875324884,848,work,stressed
P001,A,female,2025-03-09 08:53:19.753861604,395.82715028392516,1112,home,stressed
P001,A,female,2025-03-14 09:28:52.992440735,121.68156669128177,1880,work,not-stressed
P001,A,female,2025-03-15 10:08:23.043702008,1302.2338835830178,981,home,stressed
P001,A,female,2025-03-16 10:14:31.057189483,1709.0388269129749,2008,home,stressed
P001,A,female,2025-03-18 10:50:47.963802336,767.7956192259825,3230,outside,not-stressed
P001,A,female,2025-03-23 09:48:47.707696200,506.0491318350215,1556,home,stressed
P001,A,female,2025-03-24 08:02:32.062085322,1163.6176346704544,2915,outside,not-stressed
P001,A,female,2025-03-30 08:58:31.979877889,1220.0082631661433,4073,outside,not-stressed
P002,B,female,2025-03-01 09:54:10.994522774,933.0671727420233,1441,work,not-stressed
P002,B,female,2025-03-04 08:02:59.148552420,1234.4010405081963,3104,outside,not-stressed
P002,B,female,2025-03-05 09:53:48.902970410,761.8978046864128,2083,work,not-stressed
P002,B,female,2025-03-06 08:43:34.196932324,1325.7033006448066,3764,outside,not-stressed
P002,B,female,2025-03-07 08:29:38.283213943,540.8157800920083,2966,home,not-stressed
P002,B,female,2025-03-07 08:31:23.157433253,665.7842450451831,2252,work,not-stressed
P002,B,female,2025-03-15 08:30:17.543255467,703.2712738490819,1120,home,stressed
P002,B,female,2025-03-16 10:30:21.266952363,643.0283759581798,1169,home,stressed
P002,B,female,2025-03-25 09:56:35.053301846,855.1481130887144,1611,home,not-stressed
P002,B,female,2025-03-26 10:53:14.430785374,954.0637425562753,602,home,not-stressed
P002,B,female,2025-03-28 10:24:39.658430510,1398.9958827359287,1549,home,not-stressed
P002,B,female,2025-03-28 10:47:20.734645299,823.4019859072887,1147,home,not-stressed
P003,A,female,2025-03-01 09:43:50.561953964,509.95031450190436,1441,home,stressed
P003,A,female,2025-03-03 09:57:21.181602628,1195.0403407616143,971,home,not-stressed
P003,A,female,2025-03-12 09:40:29.569298956,894.1226505294385,3072,outside,not-stressed
P003,A,female,2025-03-16 08:16:51.687492543,521.6412618507851,1064,work,stressed
P003,A,female,2025-03-16 08:18:15.892662953,1532.350034344148,3306,outside,not-stressed
P003,A,female,2025-03-17 08:07:50.920734948,950.02022458661,1396,work,stressed
P003,A,female,2025-03-17 10:32:45.633785186,976.4354750334832,968,home,stressed
P003,A,female,2025-03-19 10:10:40.321331798,1157.6450705635664,4002,outside,not-stressed
P003,A,female,2025-03-19 10:40:34.102795913,978.9700108970227,2388,outside,not-stressed
P003,A,female,2025-03-21 09:43:00.758667045,656.1539055427655,1153,home,not-stressed
P003,A,female,2025-03-24 08:37:36.322150245,592.729608696,4091,outside,not-stressed
P003,A,female,2025-03-24 09:56:56.035309710,951.9079598172392,2888,outside,not-stressed
P003,A,female,2025-03-25 08:37:37.973503967,1256.4660347585032,3196,outside,not-stressed
P003,A,female,2025-03-25 09:11:02.667841542,795.851098356601,1782,work,stressed
P003,A,female,2025-03-28 08:31:29.513212636,964.1708479252965,1652,home,not-stressed
P004,A,male,2025-03-01 09:37:05.276442720,1711.3590171041033,1356,home,stressed
P004,A,male,2025-03-04 09:15:13.817142528,976.2380668336854,1712,home,not-stressed
P004,A,male,2025-03-04 10:04:43.215873873,1231.872671046728,1920,work,not-stressed
P004,A,male,2025-03-05 08:21:37.778196300,742.3986130822585,3244,outside,not-stressed
P004,A,male,2025-03-05 09:52:40.148437097,335.33190415279944,1603,home,not-stressed
P004,A,male,2025-03-08 10:06:21.242274383,1118.3986093413423,1298,work,stressed
P004,A,male,2025-03-10 10:25:41.100479167,1057.4237183586729,1591,home,not-stressed
P004,A,male,2025-03-13 10:54:30.998164833,541.4674241058,440,work,not-stressed
P004,A,male,2025-03-16 08:32:54.952768758,1018.8337646110585,1755,home,stressed
